Probe;B3B;h;a;Datum;Zeit;OK
;mm;mm;mm;;;
1;3.5;409;5;21-02-02;13:43:40;x
2;3.5;409;5;21-02-02;13:45:31;x
3;3.5;408;5;21-02-02;13:47:05;x
4;3.5;408;5;21-02-02;13:49:11;x
5;3.5;407;5;21-02-02;13:50:53;x
6;3.5;408;5;21-02-02;13:52:33;x
7;3.5;407;5;21-02-02;13:54:10;x
8;3.5;408;5;21-02-02;13:56:20;x
9;3.5;407;5;21-02-02;13:57:48;x
10;3.5;406;5;21-02-02;13:59:23;x
11;3.5;405;5;21-02-02;14:01:05;x
12;3.5;404;5;21-02-02;14:02:47;x
13;3.5;404;5;21-02-02;14:05:00;x
14;3.5;403;5;21-02-02;14:06:31;x
15;3.5;403;5;21-02-02;14:08:00;x
16;3.5;404;5;21-02-02;14:10:32;x
17;3.5;403;5;21-02-02;14:12:53;x
18;3.5;403;5;21-02-02;14:14:43;x
19;3.5;402;5;21-02-02;14:16:28;x
20;3.5;403;5;21-02-02;14:18:08;x
21;3.5;404;5;21-02-02;14:19:46;x
22;3.5;404;5;21-02-02;14:21:26;x
23;3.5;404;5;21-02-02;14:23:39;x
24;3.5;405;5;21-02-02;14:25:16;x
25;3.5;405;5;21-02-02;14:26:48;x
26;3.5;407;5;21-02-02;14:28:13;x
27;3.5;408;5;21-02-02;14:29:34;x
28;3.5;408;5;21-02-02;14:30:52;x
29;3.5;408;5;21-02-02;14:32:21;x
30;3.5;409;5;21-02-02;14:33:48;x
