Zeit	Weg	Kraft
s	mm	N
0.02	0.2418	5.5632
0.04	0.2421	5.7084
0.06	0.2424	5.8447
0.08	0.2427	5.952
0.1	0.2429	6.0408
0.12	0.2431	6.14
0.14	0.2434	6.244
0.16	0.2437	6.3675
0.18	0.244	6.4998
0.2	0.2442	6.6022
0.22	0.2444	6.6998
0.24	0.2447	6.8297
0.26	0.245	6.9588
0.28	0.2452	7.0629
0.3	0.2455	7.1653
0.32	0.2457	7.2766
0.34	0.2459	7.3767
0.36	0.2462	7.4759
0.38	0.2465	7.601
0.4	0.2467	7.7228
0.42	0.2469	7.8131
0.44	0.2472	7.9196
0.46	0.2475	8.0551
0.48	0.2478	8.1826
0.5	0.248	8.2762
0.52	0.2482	8.3625
0.54	0.2484	8.473
0.56	0.2487	8.6069
0.58	0.249	8.7231
0.6	0.2492	8.8256
0.62	0.2494	8.932
0.64	0.2497	9.053
0.66	0.25	9.1652
0.68	0.2502	9.2733
0.7	0.2504	9.379
0.72	0.2507	9.504
0.74	0.251	9.6363
0.76	0.2512	9.7323
0.78	0.2514	9.8283
0.8	0.2517	9.9412
0.82	0.252	10.0542
0.84	0.2522	10.1591
0.86	0.2524	10.2672
0.88	0.2527	10.3809
0.9	0.2529	10.4817
0.92	0.2532	10.5931
0.94	0.2535	10.7109
0.96	0.2537	10.8238
0.98	0.254	10.9311
1.	0.2542	11.04
1.02	0.2544	11.1513
1.04	0.2547	11.2562
1.06	0.255	11.3804
1.08	0.2553	11.5192
1.1	0.2555	11.6281
1.12	0.2557	11.7136
1.14	0.2559	11.8298
1.16	0.2563	11.975
1.18	0.2565	12.092
1.2	0.2567	12.171
1.22	0.2569	12.2678
1.24	0.2572	12.3977
1.26	0.2574	12.5115
1.28	0.2577	12.6099
1.3	0.2579	12.722
1.32	0.2583	12.8688
1.34	0.2585	12.9963
1.36	0.2587	13.0883
1.38	0.2589	13.177
1.4	0.2592	13.2996
1.42	0.2595	13.4376
1.44	0.2597	13.5433
1.46	0.26	13.6352
1.48	0.2602	13.7554
1.5	0.2605	13.8797
1.52	0.2607	13.9821
1.54	0.2609	14.0781
1.56	0.2612	14.1862
1.58	0.2614	14.2959
1.6	0.2617	14.4016
1.62	0.2619	14.5194
1.64	0.2622	14.6477
1.66	0.2625	14.7606
1.68	0.2627	14.8582
1.7	0.2629	14.9607
1.72	0.2632	15.0663
1.74	0.2634	15.1849
1.76	0.2637	15.3108
1.78	0.264	15.4278
1.8	0.2642	15.5205
1.82	0.2644	15.6214
1.84	0.2647	15.7432
1.86	0.265	15.8682
1.88	0.2652	15.9723
1.9	0.2654	16.0659
1.92	0.2657	16.1861
1.94	0.266	16.3305
1.96	0.2663	16.4474
1.98	0.2665	16.5418
2.	0.2667	16.6435
2.02	0.267	16.7516
2.04	0.2672	16.8556
2.06	0.2674	16.9637
2.08	0.2677	17.0977
2.1	0.268	17.2154
2.12	0.2682	17.305
2.14	0.2684	17.405
2.16	0.2687	17.543
2.18	0.269	17.6632
2.2	0.2692	17.7479
2.22	0.2694	17.8471
2.24	0.2697	17.956
2.26	0.2699	18.0754
2.28	0.2702	18.2053
2.3	0.2705	18.311
2.32	0.2707	18.411
2.34	0.2709	18.5175
2.36	0.2712	18.6546
2.38	0.2715	18.7894
2.4	0.2717	18.8821
2.42	0.2719	18.966
2.44	0.2722	19.0822
2.46	0.2725	19.2185
2.48	0.2727	19.3355
2.5	0.273	19.4339
2.52	0.2732	19.5517
2.54	0.2735	19.6719
2.56	0.2737	19.7736
2.58	0.2739	19.8808
2.6	0.2742	19.9994
2.62	0.2745	20.118
2.64	0.2747	20.2293
2.66	0.275	20.3463
2.68	0.2752	20.4609
2.7	0.2754	20.5698
2.72	0.2757	20.6876
2.74	0.2759	20.8013
2.76	0.2762	20.9094
2.78	0.2764	21.0143
2.8	0.2767	21.1313
2.82	0.277	21.2741
2.84	0.2772	21.391
2.86	0.2774	21.4773
2.88	0.2777	21.575
2.9	0.2779	21.6935
2.92	0.2782	21.7992
2.94	0.2784	21.9097
2.96	0.2787	22.0453
2.98	0.279	22.1639
3.	0.2792	22.2518
3.02	0.2794	22.3526
3.04	0.2797	22.4857
3.06	0.28	22.6035
3.08	0.2802	22.7036
3.1	0.2804	22.8181
3.12	0.2808	22.9633
3.14	0.281	23.0827
3.16	0.2812	23.1658
3.18	0.2814	23.2707
3.2	0.2817	23.4086
3.22	0.282	23.5417
3.24	0.2822	23.6458
3.26	0.2824	23.7467
3.28	0.2827	23.8693
3.3	0.2829	23.975
3.32	0.2832	24.1056
3.34	0.2835	24.2436
3.36	0.2837	24.3477
3.38	0.2839	24.4428
3.4	0.2842	24.5598
3.42	0.2845	24.6994
3.44	0.2847	24.8139
3.46	0.2849	24.9059
3.48	0.2852	25.0205
3.5	0.2854	25.1374
3.52	0.2857	25.2439
3.54	0.2859	25.3585
3.56	0.2862	25.4964
3.58	0.2865	25.6263
