Probe;B3B;h;a;Datum;Zeit;OK
;mm;mm;mm;;;
1;3,5;0,408;5;21-02-09;14:53:39;x
2;3,5;0,408;5;21-02-09;15:07:50;x
3;3,5;0,408;5;21-02-09;15:16:12;x
4;3,5;0,409;5;21-02-09;15:23:37;x
5;3,5;0,404;5;21-02-09;15:31:55;x
6;3,5;0,403;5;21-02-09;15:37:57;x
7;3,5;0,405;5;21-02-09;15:43:30;x
8;3,5;0,404;5;21-02-09;15:49:54;x
9;3,5;0,404;5;21-02-09;15:56:37;x
10;3,5;0,404;5;21-02-09;16:02:54;x
11;3,5;0,405;5;21-02-09;16:09:23;x
12;3,5;0,407;5;21-02-09;16:16:22;x
13;3,5;0,407;5;21-02-09;16:22:37;x
14;3,5;0,408;5;21-02-09;16:29:05;x
15;3,5;0,408;5;21-02-09;16:35:58;x
16;3,5;0,408;5;21-02-09;16:47:17;x
17;3,5;0,409;5;21-02-09;16:55:17;x
18;3,5;0,409;5;21-02-09;17:01:56;x
19;3,5;0,408;5;21-02-09;17:08:57;x
20;3,5;0,409;5;21-02-09;17:14:59;x
21;3,5;0,407;5;21-02-09;17:21:45;x
22;3,5;0,408;5;21-02-09;17:28:44;x
23;3,5;0,403;5;21-02-09;17:35:50;x
24;3,5;0,404;5;21-02-09;17:42:09;x
25;3,5;0,404;5;21-02-09;17:47:52;x
26;3,5;0,404;5;21-02-09;17:54:05;x
27;3,5;0,405;5;21-02-09;18:00:26;x
28;3,5;0,404;5;21-02-09;18:06:45;x
29;3,5;0,406;5;21-02-09;18:12:40;x
30;3,5;0,408;5;21-02-09;18:19:38;x
