Zeit	Weg	Kraft
s	mm	N
0.02	0.2841	10.6108
0.04	0.2844	10.7511
0.06	0.2847	10.8923
0.08	0.2848	10.9391
0.1	0.2848	10.9512
0.12	0.2848	10.9545
0.14	0.2848	10.9577
0.16	0.2848	10.9601
0.18	0.2848	10.9609
0.2	0.2848	10.9625
0.22	0.2848	10.9633
0.24	0.2848	10.9633
0.26	0.2848	10.9649
0.28	0.2848	10.9657
0.3	0.2848	10.9649
0.32	0.2848	10.9666
0.34	0.2848	10.9674
0.36	0.2848	10.9674
0.38	0.2848	10.9682
0.4	0.2848	10.9682
0.42	0.2848	10.9698
0.44	0.2848	10.9682
0.46	0.2848	10.9682
0.48	0.2848	10.9714
0.5	0.2848	10.969
0.52	0.2848	10.9706
0.54	0.2848	10.9706
0.56	0.2848	10.9698
0.58	0.2848	10.9706
0.6	0.2848	10.9698
0.62	0.2848	10.9714
0.64	0.2848	10.9722
0.66	0.2848	10.9706
0.68	0.2848	10.9722
0.7	0.2848	10.9722
0.72	0.2848	10.9698
0.74	0.2848	10.9714
0.76	0.2848	10.9682
0.78	0.2848	10.9706
0.8	0.2848	10.9706
0.82	0.2848	10.969
0.84	0.2848	10.973
0.86	0.2848	10.9746
0.88	0.2848	10.9682
0.9	0.2849	10.973
0.92	0.2849	10.977
0.94	0.2849	10.9722
0.96	0.2849	10.9778
0.98	0.2849	10.9787
1.	0.2849	10.973
1.02	0.2849	10.9803
1.04	0.2849	10.9746
1.06	0.2849	10.9778
1.08	0.2849	10.9827
1.1	0.2849	10.977
1.12	0.2849	10.977
1.14	0.2849	10.9754
1.16	0.2849	10.9803
1.18	0.2849	10.9835
1.2	0.2849	10.977
1.22	0.2849	10.9843
1.24	0.2849	10.9843
1.26	0.2849	10.9891
1.28	0.2849	10.9875
1.3	0.2849	10.9859
1.32	0.2849	10.9891
1.34	0.2849	10.9883
1.36	0.2849	10.994
1.38	0.2849	10.9891
1.4	0.2849	10.9932
1.42	0.2849	10.9908
1.44	0.2849	10.9916
1.46	0.2849	10.994
1.48	0.2849	10.9932
1.5	0.2849	10.9932
1.52	0.2849	10.9899
1.54	0.285	10.9916
1.56	0.285	10.9956
1.58	0.285	10.9924
1.6	0.285	10.9916
1.62	0.285	10.994
1.64	0.285	10.9956
1.66	0.285	10.9972
1.68	0.285	10.9948
1.7	0.285	10.994
1.72	0.285	11.0004
1.74	0.285	11.0021
1.76	0.285	11.0021
1.78	0.285	10.9988
1.8	0.285	10.9996
1.82	0.285	11.0045
1.84	0.285	11.0061
1.86	0.285	11.0045
1.88	0.285	11.0029
1.9	0.285	11.0037
1.92	0.285	11.0069
1.94	0.285	11.0085
1.96	0.285	11.0085
1.98	0.285	11.0053
2.	0.285	11.0101
2.02	0.285	11.0085
2.04	0.285	11.0109
2.06	0.285	11.0125
2.08	0.285	11.0101
2.1	0.285	11.0093
2.12	0.285	11.0125
2.14	0.285	11.0166
2.16	0.285	11.0182
2.18	0.285	11.0158
2.2	0.285	11.0198
2.22	0.285	11.0222
2.24	0.285	11.0206
2.26	0.285	11.0238
2.28	0.285	11.0214
2.3	0.285	11.0246
2.32	0.285	11.0263
2.34	0.285	11.0246
2.36	0.285	11.0287
2.38	0.285	11.0246
2.4	0.2851	11.0263
2.42	0.2851	11.0303
2.44	0.2851	11.0295
2.46	0.2851	11.0327
2.48	0.2851	11.0271
2.5	0.2851	11.0303
2.52	0.2851	11.0327
2.54	0.2851	11.0311
2.56	0.2851	11.0343
2.58	0.2851	11.0343
2.6	0.2851	11.0327
2.62	0.2851	11.0359
2.64	0.2851	11.0367
2.66	0.2851	11.0384
2.68	0.2851	11.04
2.7	0.2851	11.0375
2.72	0.2851	11.0416
2.74	0.2851	11.04
2.76	0.2851	11.0432
2.78	0.2851	11.0448
2.8	0.2851	11.0432
2.82	0.2851	11.0464
2.84	0.2851	11.0456
2.86	0.2851	11.0488
2.88	0.2851	11.0488
2.9	0.2851	11.048
2.92	0.2851	11.0513
2.94	0.2851	11.0521
2.96	0.2851	11.0553
2.98	0.2851	11.0553
3.	0.2851	11.0569
3.02	0.2851	11.0577
3.04	0.2851	11.0585
3.06	0.2851	11.0609
3.08	0.2851	11.0593
3.1	0.2852	11.0626
3.12	0.2852	11.0618
3.14	0.2852	11.0658
3.16	0.2852	11.069
3.18	0.2852	11.069
3.2	0.2852	11.0722
3.22	0.2852	11.0763
3.24	0.2852	11.0763
3.26	0.2852	11.0763
3.28	0.2852	11.0771
3.3	0.2852	11.0803
3.32	0.2852	11.0795
3.34	0.2852	11.0787
3.36	0.2852	11.0811
3.38	0.2852	11.0819
3.4	0.2852	11.0819
3.42	0.2852	11.0835
3.44	0.2852	11.0835
3.46	0.2852	11.086
3.48	0.2852	11.086
3.5	0.2852	11.0884
3.52	0.2852	11.0884
3.54	0.2852	11.0884
3.56	0.2852	11.09
3.58	0.2852	11.0908
3.6	0.2852	11.0916
3.62	0.2852	11.0924
3.64	0.2852	11.0916
3.66	0.2852	11.094
3.68	0.2852	11.0932
3.7	0.2852	11.094
3.72	0.2852	11.0956
3.74	0.2852	11.094
3.76	0.2852	11.1005
3.78	0.2852	11.1005
3.8	0.2852	11.1037
3.82	0.2852	11.1037
3.84	0.2852	11.1045
3.86	0.2852	11.1085
3.88	0.2852	11.1077
3.9	0.2852	11.1085
3.92	0.2852	11.111
3.94	0.2852	11.111
